id,tarih,tf,sembol,karar,kod,skor,giris,stop,t1,t2,direnc,rr,durum
2026-06-08_ODAS_gunluk,2026-06-08,gunluk,ODAS,Long Adayi,5,86,7.48,6.88,8.38,8.68,8.49,1.68,ACIK
2026-06-08_SARKY_gunluk,2026-06-08,gunluk,SARKY,Long Adayi,5,80,29.44,27.54,32.28,33.23,36.57,3.76,ACIK
2026-06-05_AGHOL_haftalik,2026-06-05,haftalik,AGHOL,Long Adayi,5,82,32.3,29.05,37.18,38.81,36.2,1.2,ACIK
2026-06-05_TTKOM_haftalik,2026-06-05,haftalik,TTKOM,Long Adayi,5,81,62.3,55.69,72.22,75.52,71.55,1.4,ACIK
2026-06-05_MAVI_haftalik,2026-06-05,haftalik,MAVI,Long Adayi,5,81,43.6,39.12,50.31,52.55,50.77,1.6,ACIK
2026-06-05_AKSA_haftalik,2026-06-05,haftalik,AKSA,Long Adayi,5,78,10.65,9.89,11.79,12.17,11.41,1.0,ACIK
2026-06-08_A1YEN_gunluk,2026-06-08,gunluk,A1YEN,Long Adayi,5,85,3.6,3.3,4.05,4.2,4.26,2.2,ACIK
2026-06-08_HKTM_gunluk,2026-06-08,gunluk,HKTM,Long Adayi,5,81,14.61,13.6,16.13,16.64,17.22,2.57,ACIK
2026-06-08_MAKIM_gunluk,2026-06-08,gunluk,MAKIM,Long Adayi,5,81,17.69,16.31,19.77,20.46,20.44,1.99,ACIK
2026-06-08_BYDNR_gunluk,2026-06-08,gunluk,BYDNR,Long Adayi,5,80,41.5,39.4,44.65,45.7,46.88,2.56,ACIK
2026-06-08_DYOBY_gunluk,2026-06-08,gunluk,DYOBY,Long Adayi,5,80,16.25,14.84,18.36,19.07,22.8,4.65,ACIK
2026-06-08_FLAP_gunluk,2026-06-08,gunluk,FLAP,Long Adayi,5,80,14.47,13.07,16.57,17.27,16.6,1.52,ACIK
2026-06-08_KRPLS_gunluk,2026-06-08,gunluk,KRPLS,Long Adayi,5,80,9.4,8.85,10.22,10.5,10.26,1.57,ACIK
2026-06-08_BNTAS_gunluk,2026-06-08,gunluk,BNTAS,Long Adayi,5,79,6.91,6.47,7.56,7.78,7.6,1.58,ACIK
2026-06-08_PAGYO_gunluk,2026-06-08,gunluk,PAGYO,Long Adayi,5,79,131.7,121.59,146.86,151.92,148.98,1.71,ACIK
